Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,2022-01
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,2022-08
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,2022-07
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,2022-04
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,2022-02
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,2022-06
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,2022-01
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,2022-03
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,2022-04
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,2022-07
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,2022-01
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,2022-03
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,2022-01
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,2022-07
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,2022-08
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,2022-01
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,2022-02
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,2022-04
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,2022-02
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,2022-06
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88,2022-06
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157,2022-02
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163,2022-05
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113,2022-03
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115,2022-02
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321,2022-01
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186,2022-02
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112,2022-07
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492.0,151,2022-07
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301,2022-06
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121,2022-05
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150,2022-06
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284.0,94,2022-05
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133,2022-06
Andria Kimpton,Canada,After Nines,2022-05-11,2163.0,70,2022-05
